-2.000000	-4.662344e+00	-4.662371e+00
-2.301030	-5.264416e+00	-5.264606e+00
-2.477121	-5.616601e+00	-5.616161e+00
-2.602060	-5.866479e+00	-5.867616e+00
-2.698970	-6.060299e+00	-6.061457e+00
-2.778151	-6.218662e+00	-6.218570e+00
-2.845098	-6.352556e+00	-6.350803e+00
-2.903090	-6.468540e+00	-6.471911e+00
-2.954243	-6.570845e+00	-6.576313e+00
-3.000000	-6.662360e+00	-6.659976e+00
-3.041393	-6.745145e+00	-6.742274e+00
-3.079181	-6.820722e+00	-6.812805e+00
-3.113943	-6.890246e+00	-6.901164e+00
-3.146128	-6.954615e+00	-6.954266e+00
-3.176091	-7.014542e+00	-7.024588e+00
-3.204120	-7.070602e+00	-7.080167e+00
-3.230449	-7.123257e+00	-7.138805e+00
-3.255273	-7.172901e+00	-7.176122e+00
-3.278754	-7.219866e+00	-7.224960e+00
-3.301030	-7.264420e+00	-7.292027e+00
-3.322219	-7.306792e+00	-7.326713e+00
-3.342423	-7.347208e+00	-7.329477e+00
-3.361728	-7.385820e+00	-7.361258e+00
-3.380211	-7.422784e+00	-7.438201e+00
-3.397940	-7.458238e+00	-7.475199e+00
-3.414973	-7.492303e+00	-7.535372e+00
-3.431364	-7.525087e+00	-7.517690e+00
-3.447158	-7.556661e+00	-7.586679e+00
-3.462398	-7.587179e+00	-7.530225e+00
-3.477121	-7.616588e+00	-7.632866e+00
-3.491362	-7.645099e+00	-7.654726e+00
-3.505150	-7.672641e+00	-7.682479e+00
-3.518514	-7.699404e+00	-7.635255e+00
-3.531479	-7.725338e+00	-7.734797e+00
-3.544068	-7.750513e+00	-7.731226e+00
-3.556303	-7.774963e+00	-7.724449e+00
-3.568202	-7.798732e+00	-7.701430e+00
-3.579784	-7.821941e+00	-7.773882e+00
-3.591065	-7.844506e+00	-7.889927e+00
-3.602060	-7.866441e+00	-7.932951e+00
-3.612784	-7.887928e+00	-7.816180e+00
-3.623249	-7.908910e+00	-7.827033e+00
-3.633468	-7.929242e+00	-8.032914e+00
-3.643453	-7.949284e+00	-7.856299e+00
-3.653213	-7.968688e+00	-8.068038e+00
-3.662758	-7.987896e+00	-8.083783e+00
-3.672098	-8.006570e+00	-7.972295e+00
-3.681241	-8.024849e+00	-8.082194e+00
-3.690196	-8.042833e+00	-7.943461e+00
-3.698970	-8.060211e+00	-7.982698e+00
-3.707570	-8.077621e+00	-8.002196e+00
-3.716003	-8.094318e+00	-8.113748e+00
-3.724276	-8.110850e+00	-8.074547e+00
-3.732394	-8.127166e+00	-7.989398e+00
-3.740363	-8.143106e+00	-8.116324e+00
-3.748188	-8.158884e+00	-8.154835e+00
-3.755875	-8.174323e+00	-8.145143e+00
-3.763428	-8.189539e+00	-8.132712e+00
-3.770852	-8.204206e+00	-7.969772e+00
-3.778151	-8.218829e+00	-8.211137e+00
-3.785330	-8.233040e+00	-8.310220e+00
-3.792392	-8.247163e+00	-8.251464e+00
-3.799341	-8.261056e+00	-8.083208e+00
-3.806180	-8.274835e+00	-8.081217e+00
-3.812913	-8.288047e+00	-8.057094e+00
-3.819544	-8.301766e+00	-8.202500e+00
